City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,haiku-pauwela,20.9219,-156.3051,22.25,81,0,3.6,US,1712756429
291,ruteng,-8.6136,120.4721,18.92,98,99,0.17,ID,1712756429
292,tadine,-21.55,167.8833,25.08,95,64,2.72,NC,1712756429
293,ati,13.2154,18.3353,40.67,5,100,3.84,TD,1712756429
294,kapa'a,22.0752,-159.319,23.18,82,75,5.14,US,1712756430
295,broken hill,-31.95,141.4333,12.82,54,0,3.47,AU,1712756279
296,tubarjal,30.4999,38.216,22.93,27,35,7.39,SA,1712756430
297,sola,-13.8833,167.55,27.22,72,93,0.93,VU,1712756430
298,grande prairie,55.1667,-118.8027,-2.9,74,20,1.03,CA,1712755959
299,al mutayrifi,25.4788,49.5576,30.19,42,99,3.65,SA,1712756430
300,los frentones,-26.4077,-61.4137,22.65,98,100,2.4,AR,1712756430
301,gemona,46.2794,13.1431,16.17,59,100,5.36,IT,1712756430
302,ugoofaaru,5.6667,73.0,29.96,70,100,4.88,MV,1712756431
303,kanniyakumari,8.0833,77.5667,30.52,66,88,4.74,IN,1712756431
304,qarqaraly,49.4058,75.4742,5.54,78,100,4.53,KZ,1712756431
305,keflavik,64.0049,-22.5624,6.95,87,75,8.75,IS,1712756431
306,ringsted,55.4426,11.7901,11.96,69,35,8.49,DK,1712756431
307,alghero,40.5589,8.3181,13.05,62,75,7.2,IT,1712756431
308,kodinsk,58.6881,99.1844,3.58,98,100,2.92,RU,1712756431
309,budleigh salterton,50.6298,-3.3218,13.1,95,75,5.66,GB,1712756431
310,springbok,-29.6643,17.8865,23.55,29,0,1.76,ZA,1712756431
311,taroa,8.7058,171.2275,27.3,81,99,10.52,MH,1712756432
312,maceio,-9.6658,-35.7353,29.69,89,75,2.57,BR,1712756381
313,coahuayana de hidalgo,18.7,-103.6583,22.82,65,69,0.6,MX,1712756432
314,dryden,49.7833,-92.7503,4.16,100,75,1.54,CA,1712756171
315,damavand,35.7178,52.065,16.86,30,80,5.08,IR,1712756432
316,zaozersk,69.4005,32.4476,1.68,100,100,2.76,RU,1712756432
317,ribas do rio pardo,-20.4431,-53.7592,28.34,67,66,2.89,BR,1712756432
318,nogliki,51.8333,143.1667,-1.48,87,51,3.58,RU,1712756432
319,kegeyli shahar,42.7767,59.6078,22.05,29,5,5.5,UZ,1712756432
320,nantucket,41.2835,-70.0995,10.08,77,0,7.2,US,1712756208
321,sarupathar,26.1984,93.8094,25.43,44,96,1.32,IN,1712756433
322,fuglafjordur,62.244,-6.814,7.26,72,100,7.08,FO,1712756433
323,vilyuysk,63.7553,121.6247,0.56,94,100,5.36,RU,1712756433
324,souillac,-20.5167,57.5167,27.21,83,75,4.12,MU,1712756433
325,culaba,11.6578,124.5425,25.97,81,98,5.04,PH,1712756433
326,black point,-34.6187,137.8972,16.19,76,45,4.53,AU,1712756433
327,gazojak,41.1875,61.4036,21.69,21,1,5.49,TM,1712756433
328,mount gambier,-37.8333,140.7667,12.89,80,93,1.79,AU,1712756433
329,clearwater,27.9659,-82.8001,23.86,74,0,8.05,US,1712756329
330,kuching,1.55,110.3333,27.79,94,40,1.54,MY,1712756282
331,anna regina,7.2644,-58.5077,29.85,64,37,3.88,GY,1712756434
332,st. john's,47.5649,-52.7093,0.93,74,100,7.2,CA,1712756163
333,batticaloa,7.7102,81.6924,28.46,77,95,2.68,LK,1712756434
334,aykhal,66.0,111.5,-17.9,88,76,7.03,RU,1712756434
335,ta`u,-14.2336,-169.5144,28.63,81,44,4.84,AS,1712756434
336,kavieng,-2.5744,150.7967,26.28,88,100,5.73,PG,1712756434
337,kurtalan,37.9272,41.7028,18.42,55,75,1.54,TR,1712756434
